"All Mail Classes (3-digit)","All Mail Classes (3-digit)"
"All HAZMAT Mail Classes (4-digit)","All HAZMAT Mail Classes (4-digit)"
"Priority Mail Express","Priority Mail Express"
"Priority Mail Express HAZMAT","Priority Mail Express HAZMAT"
"Priority Mail","Priority Mail"
"Priority Mail HAZMAT","Priority Mail HAZMAT"
"Priority Mail 1-Day (Deprecated)","Priority Mail 1-Day (Deprecated)"
"Priority Mail 2-Day (Deprecated)","Priority Mail 2-Day (Deprecated)"
"Priority Mail 3-Day (Deprecated)","Priority Mail 3-Day (Deprecated)"
"Priority Mail Military","Priority Mail Military"
"Priority Mail Military HAZMAT","Priority Mail Military HAZMAT"
"Priority Mail DPO","Priority Mail DPO"
"Priority Mail DPO HAZMAT","Priority Mail DPO HAZMAT"
"Priority Mail Offshore","Priority Mail Offshore"
"Priority Mail Offshore HAZMAT","Priority Mail Offshore HAZMAT"
"USPS Ground Advantage (up to 15.999 oz)","USPS Ground Advantage (up to 15.999 oz)"
"First-Class Mail Letters","First-Class Mail Letters"
"First-Class Mail Flats","First-Class Mail Flats"
"First-Class Mail Cards","First-Class Mail Cards"
"USPS Ground Advantage (up to 15.999 oz)","USPS Ground Advantage (up to 15.999 oz)"
"USPS Ground Advantage (up to 15.999 oz) HAZMAT","USPS Ground Advantage (up to 15.999 oz) HAZMAT"
"Standard Mail","Standard Mail"
"Standard Mail Letters","Standard Mail Letters"
"Standard Mail Flats","Standard Mail Flats"
"Standard Mail Marketing Parcels","Standard Mail Marketing Parcels"
"Standard Mail Simple Samples","Standard Mail Simple Samples"
"Parcel Select Lightweight (Deprecated)","Parcel Select Lightweight (Deprecated)"
"Periodicals","Periodicals"
"Parcel Shaped Periodicals","Parcel Shaped Periodicals"
"Package Services","Package Services"
"Parcel Select (Deprecated)","Parcel Select (Deprecated)"
"Standard Post","Standard Post"
"Media Mail","Media Mail"
"Library Mail","Library Mail"
"Bound Printed Matter","Bound Printed Matter"
"USPS Ground Advantage (up to 15.999 oz)","USPS Ground Advantage (up to 15.999 oz)"
"USPS Ground Advantage (up to 15.999 oz) HAZMAT","USPS Ground Advantage (up to 15.999 oz) HAZMAT"
"USPS Ground Advantage (1 to 70lbs)","USPS Ground Advantage (1 to 70lbs)"
"USPS Ground Advantage (1 to 70lbs) HAZMAT","USPS Ground Advantage (1 to 70lbs) HAZMAT"
Letter,Letter
Flat,Flat
Parcel,Parcel
Variable,Variable
"Small Flat-Rate Box","Small Flat-Rate Box"
"Medium Flat-Rate Box","Medium Flat-Rate Box"
"Large Flat-Rate Box","Large Flat-Rate Box"
"Flat-Rate Envelope","Flat-Rate Envelope"
"Small Flat-Rate Envelope","Small Flat-Rate Envelope"
"Window Flat-Rate Envelope","Window Flat-Rate Envelope"
"Gift Card Flat-Rate Envelope","Gift Card Flat-Rate Envelope"
"Legal Flat-Rate Envelope","Legal Flat-Rate Envelope"
"Padded Flat-Rate Envelope","Padded Flat-Rate Envelope"
Rectangular,Rectangular
Non-rectangular,Non-rectangular
Regular,Regular
Large,Large
Yes,Yes
No,No
"Not Required","Not Required"
Required,Required
"For some reason we can't retrieve tracking info right now.","For some reason we can't retrieve tracking info right now."
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","Sorry, something went wrong. Please try again or contact us and we'll try to help."
track_summary,track_summary
"Empty response","Empty response"
"Service type does not match","Service type does not match"
Merchandise,Merchandise
Sample,Sample
Gift,Gift
Documents,Documents
Return,Return
Other,Other
None,None
"Field ","Field "
" is required."," is required."
USPS,USPS
"Enabled for Checkout","Enabled for Checkout"
"Gateway URL","Gateway URL"
"Secure Gateway URL","Secure Gateway URL"
Title,Title
"User ID","User ID"
Password,Password
Mode,Mode
"Packages Request Type","Packages Request Type"
Container,Container
Size,Size
Width,Width
Length,Length
Height,Height
Girth,Girth
Machinable,Machinable
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)"
"Calculate Handling Fee","Calculate Handling Fee"
"Handling Applied","Handling Applied"
"Handling Fee","Handling Fee"
"Allowed Methods","Allowed Methods"
"Free Method","Free Method"
"Enable Free Shipping Threshold","Enable Free Shipping Threshold"
"Free Shipping Amount Threshold","Free Shipping Amount Threshold"
"Displayed Error Message","Displayed Error Message"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
Debug,Debug
"Show Method if Not Applicable","Show Method if Not Applicable"
"Sort Order","Sort Order"
"USPS API endpoint URL's must use usps.com or shippingapis.com","USPS API endpoint URL's must use usps.com or shippingapis.com"
